id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
29,15727361,T'ien,782,France,Male,36,9,0,2,1,0,141822.8,0
30,15747358,Chinomso,629,Germany,Male,26,8,121818.84,1,1,1,59601.29,0
31,15653778,Ch'eng,701,Germany,Female,42,2,102741.15,2,1,1,175749.36,1
32,15709928,Ch'ien,669,France,Female,39,1,0,2,1,0,4696.44,0
33,15636595,Chukwubuikem,535,Germany,Male,41,2,109093.41,2,1,1,61961.57,0
34,15676958,Onwuatuegwu,689,France,Male,39,6,0,2,1,1,177613.19,0
35,15591036,Ch'iu,676,Spain,Female,52,6,0,2,1,1,163714.92,0
36,15802501,Macartney,589,Germany,Male,44,2,141581.71,1,1,1,164549.74,0
37,15584580,Pisani,627,Germany,Male,40,2,101016.53,2,1,1,107955.67,0
38,15643826,Folliero,695,Germany,Male,33,0,129810.6,2,1,1,142838.64,0
39,15672574,P'an,679,Spain,Male,31,1,155766.05,2,1,0,180551.76,0
40,15629133,Kao,656,France,Female,36,5,99339,1,1,0,151902.78,0
41,15638355,Liao,722,France,Male,37,5,0,1,1,1,65816.53,1
42,15652948,Ozerova,642,Germany,Male,26,6,141947.67,1,0,0,117622.8,0
43,15673367,Mazzanti,603,France,Male,49,0,0,1,1,1,166677.35,0
44,15731669,Tsao,782,France,Male,35,9,0,2,1,0,43982.41,0
45,15566211,Lucciano,531,Spain,Male,23,6,146652.01,1,1,0,109843.16,0
46,15682048,Chiu,721,Germany,Male,37,5,125919.35,1,1,0,90876.95,0
47,15797960,Hsiao,573,France,Male,26,9,0,2,0,0,158024.1,0
48,15792914,Ch'eng,686,France,Male,40,8,131778.66,1,1,1,51721.52,0
49,15682355,Iqbal,539,Spain,Female,33,9,110827.49,1,1,0,89566.64,0
50,15788448,Ch'ien,712,Germany,Male,39,0,79460.96,4,1,0,123954.15,1
51,15610105,Ch'ien,673,France,Male,39,7,0,2,1,0,85890.75,0
52,15795747,Ulyanova,606,France,Female,36,9,0,2,1,1,103960.77,0
53,15610271,Lo,578,France,Female,32,7,0,2,1,1,186940.11,0
54,15641629,Teng,775,France,Male,29,5,0,1,1,1,117622.8,0
55,15688071,Hao,718,France,Female,32,1,0,2,1,0,145936.28,0
56,15664681,Lucchesi,597,Spain,Male,30,3,0,2,1,1,177747.03,0
57,15796787,Milne,699,France,Female,38,8,0,2,1,1,107963.46,0
58,15806913,Onyemauchechukwu,594,Spain,Female,41,1,0,1,0,0,176925.69,1
59,15754577,Onyemere,641,France,Female,36,5,101675.22,1,1,1,158420.14,0
60,15583863,Ch'ien,645,Spain,Male,71,2,0,2,1,1,142331.55,0
61,15662403,Ch'ien,590,France,Male,21,1,161766.87,1,1,1,90174.83,0
62,15634950,Liao,591,France,Male,40,9,111855.03,1,1,0,185599.45,0
63,15702434,Milne,733,Germany,Male,52,3,127772.1,1,1,1,113481.02,1
64,15682453,Milanesi,637,France,Male,34,2,0,2,1,1,44251.33,0
65,15667588,Ch'ang,632,Germany,Female,43,1,138718.92,1,0,0,172668.39,1
66,15772216,Tung,596,France,Female,42,2,0,2,1,1,91340.02,0
67,15757541,Tuan,706,France,Male,28,5,0,2,1,0,183598.77,0
68,15658980,Cremonesi,778,France,Male,57,4,0,2,0,1,176712.59,0
69,15742534,Iadanza,627,Germany,Male,36,4,114027.7,2,1,1,148811.14,0
70,15613471,Martin,850,Germany,Male,40,8,99713.87,1,1,0,139259.54,0
71,15661349,Chukwuemeka,648,Spain,Male,42,1,0,3,1,0,126551.65,1
72,15791842,Lucchese,691,Spain,Female,27,5,0,1,0,0,187905.12,0
73,15812230,Tsou,663,France,Male,36,0,0,2,0,1,82868.34,0
74,15641043,Lettiere,616,France,Male,38,4,0,2,1,0,177524.19,0
75,15643674,Hs?eh,663,Spain,Male,29,1,0,2,1,1,175893.53,0
76,15571752,Nwankwo,850,France,Male,43,8,0,2,1,1,64420.5,0
77,15722532,Calabresi,489,Spain,Female,64,7,0,2,1,1,131300.68,0
78,15662494,Maclean,683,France,Female,46,4,0,1,1,1,170968.99,0
79,15672437,Tuan,705,France,Male,25,9,0,2,1,1,93081.87,0
80,15768455,Ch'ang,569,France,Female,35,2,167983.17,1,0,1,62487.97,0
81,15789955,Onwughara,683,France,Male,36,2,0,2,0,1,121232.51,0
82,15792328,Tsao,696,Spain,Female,23,7,0,2,1,1,93844.87,0
83,15783882,Chikezie,684,France,Male,35,9,0,1,1,1,151310.16,0
84,15588923,Martin,648,Germany,Male,46,10,109974.22,1,1,0,114569.19,1
85,15706464,Obidimkpa,675,Spain,Male,37,5,0,2,0,1,92887.06,0
86,15598046,Macleod,673,France,Female,37,6,0,2,0,0,94912.78,0
87,15632264,Martin,685,Germany,Female,31,8,141616.55,1,1,1,96881.32,0
88,15589975,Hsiung,635,Spain,Female,37,8,0,2,1,0,47318.75,0
89,15639882,Ch'eng,658,France,Male,39,8,0,1,1,0,56780.97,0
90,15587581,Ch'ien,595,Spain,Male,44,1,0,2,1,1,72993.67,0
91,15735572,Eluemuno,749,France,Female,31,7,0,2,1,1,134732.99,0
92,15662854,Wright,648,Germany,Female,33,5,141665.63,1,1,0,61759.33,0
93,15742268,Chiemenam,598,France,Male,45,0,0,2,1,0,56583.88,1
94,15681180,Kao,587,France,Male,29,3,0,2,1,0,94450.97,0
95,15802758,K?,648,France,Female,52,1,0,1,1,1,132973.21,1
96,15795878,Biryukov,695,Spain,Female,39,6,0,2,1,1,74850.84,0
97,15578866,Goliwe,511,Spain,Male,32,1,0,1,0,1,149987.32,0
98,15702300,Chukwumaobim,641,Spain,Male,36,6,0,2,1,0,102999.13,0
99,15685500,Lucchese,580,France,Female,43,8,133676.65,1,1,0,164549.74,0
100,15716357,Hs?,667,Germany,Female,43,4,146710.76,1,1,0,56793.02,1
101,15754569,Chiu,602,Spain,Male,40,1,0,1,1,1,86634.3,0
102,15700540,Cattaneo,537,Spain,Male,27,6,0,2,0,0,129563.86,0
103,15803526,Chineze,684,Spain,Female,48,5,132439.99,1,1,0,179866.01,1
104,15581197,Chiang,809,Spain,Female,56,7,0,1,0,0,163331.65,1
105,15674880,Nnamutaezinwa,679,Spain,Female,50,1,148962.76,1,1,1,52709.55,1
106,15605698,O'Brien,727,France,Male,61,7,98899.76,1,1,1,81297.76,0
107,15644796,Chizuoke,516,Germany,Male,49,10,133598.4,1,1,0,94823.95,1
108,15705001,Tuan,706,Spain,Male,37,7,100946.71,1,1,0,158646.46,0
109,15666056,Chinomso,632,Spain,Female,48,1,114493.41,1,0,0,172031.22,1
110,15765300,Ting,645,France,Male,34,6,0,1,1,0,139494.75,0
111,15662091,Ch'ien,721,France,Male,31,2,137104.47,1,1,0,479.54,0
112,15654891,Hsia,582,France,Male,24,9,0,2,1,1,62449.07,0
113,15768600,Yobanna,598,France,Male,27,9,0,2,1,0,60728.89,0
114,15648064,T'ien,681,France,Female,42,7,0,1,1,0,55775.72,1
115,15602844,Chu,663,France,Male,36,3,0,2,1,0,79476.63,0
116,15716357,Chibueze,646,Germany,Male,34,8,87894.26,1,1,0,184581.68,0
117,15667971,Nnachetam,692,Spain,Female,56,9,0,2,1,1,129890.94,0
118,15766683,Piazza,667,France,Male,42,9,0,1,0,0,106663.51,0
119,15706021,Hsing,651,France,Male,27,3,0,2,1,0,172782.69,0
120,15703437,Nwachinemelu,718,France,Male,31,4,0,2,0,1,148887.69,0
121,15680197,Lo Duca,766,Germany,Male,35,2,111201.56,1,1,0,127059.04,0
122,15582849,Chidiegwu,581,France,Male,36,8,132351.29,1,1,1,84932.4,0
123,15598844,Iadanza,549,France,Female,41,3,0,1,0,1,48778.46,0
124,15681220,Ndubueze,597,Germany,Female,52,1,116471.43,1,1,1,51959.82,1
125,15780572,Chiganu,578,France,Male,42,4,0,2,1,0,88965.46,0
126,15685314,Houghton,740,France,Female,38,8,0,2,1,0,44363.42,0
127,15655961,Nnachetam,609,France,Female,41,4,0,2,1,0,152883.95,0
128,15662658,Kuo,622,France,Male,42,3,0,2,1,1,88307.87,0
129,15606472,Onwuamaeze,575,France,Male,40,1,0,2,1,1,117622.8,0
130,15795519,Ch'ang,554,Spain,Male,31,4,0,2,1,1,181461.46,0
131,15679642,Ndubuagha,667,France,Male,38,2,0,2,1,1,136902.01,0
132,15793346,Chin,538,France,Female,32,0,0,2,1,1,119110.03,0
133,15767894,Chukwubuikem,668,Germany,Male,34,3,80542.81,1,1,1,124749.08,0
134,15650018,Fiorentino,590,France,Female,39,9,0,2,0,0,196257.67,0
135,15721207,Chinwendu,717,Spain,Male,58,3,0,2,1,1,79342.31,0
136,15695078,Hs?,628,France,Female,27,1,105957.44,1,1,1,146637.45,0
137,15793424,Ch'ien,495,France,Female,57,7,121237.65,1,1,1,99017.34,0
138,15711889,Diggs,692,Germany,Male,24,8,127154.14,1,1,0,75578.67,0
139,15693877,Chiang,645,France,Female,39,3,0,2,1,1,137028.51,0
140,15812616,Aksenov,632,France,Male,41,10,0,2,1,0,135925.72,0
141,15663827,Ch'ang,681,France,Male,45,1,0,2,0,1,79222.02,0
142,15653547,Ndubueze,667,Spain,Male,30,8,0,2,1,1,106327.85,0
143,15759537,Onuchukwu,685,France,Male,69,8,181536.96,1,1,1,186489.95,0
144,15646583,Nkemdilim,663,Germany,Female,46,7,130404.92,1,1,0,177844.06,1
145,15800517,Chukwuemeka,705,Spain,Male,36,7,113957.01,1,1,1,180551.76,0
146,15651022,T'ien,554,Spain,Female,41,9,137817.55,1,1,1,188516.45,0
147,15676937,Pugh,708,France,Male,39,3,152685.4,1,0,1,109201.53,0
148,15713608,Chuang,537,Germany,Male,24,3,135947.33,1,1,0,104721.5,0
149,15663438,Ulyanova,736,Spain,Female,31,6,0,2,1,0,124496.87,0
150,15592761,Lucchesi,695,France,Female,31,9,0,2,1,0,141023.01,0
151,15656592,Uwaezuoke,640,France,Male,36,6,0,2,1,1,171378.77,0
152,15677020,Fanucci,640,France,Female,47,4,0,1,1,0,69080.46,1
153,15642709,Chidumaga,656,France,Male,42,3,0,2,1,1,173899.42,0
154,15654060,Wang,750,France,Male,29,9,0,1,1,1,110405.9,0
155,15628155,Chu,526,France,Female,34,5,0,1,1,1,152290.28,1
156,15752483,Chukwufumnanya,726,France,Male,27,8,0,2,1,0,51752.18,0
157,15731336,Obiajulu,621,Spain,Female,58,7,0,2,1,1,131048.24,0
158,15673055,Olisaemeka,672,France,Male,30,7,0,2,1,1,81431.99,0
159,15773876,Mamelu,558,Spain,Female,36,1,0,1,0,1,2498.67,1
160,15685920,Soto,699,France,Female,43,4,0,1,1,0,128528.83,1
161,15809837,Ch'iu,646,France,Female,55,1,0,1,1,0,106977.6,1
162,15713644,Onwuamaeze,678,France,Male,32,8,0,2,0,1,88890.05,0
163,15671610,Y?,516,France,Male,41,8,0,2,0,0,117977.45,0
164,15679642,Kaeppel,686,Spain,Male,52,4,0,1,1,0,170819.01,1
165,15656522,Nwachinemelu,624,France,Female,34,1,0,1,1,1,164849.08,0
166,15782591,P'eng,679,France,Female,33,7,0,2,1,0,152235.3,0
167,15665159,Golubova,566,France,Female,43,4,0,1,1,1,59679.9,1
168,15673929,Walker,806,Germany,Female,26,9,167878.5,2,1,1,177524.19,0
169,15730038,Ch'ang,599,France,Male,41,8,155842.89,1,1,1,87941.85,1
170,15691627,Ch'iu,633,Spain,Female,38,3,0,2,0,1,86622.09,0
171,15578865,Ting,616,Germany,Male,44,5,117412.19,2,1,0,45959.86,0
172,15792925,Chidiebere,738,Germany,Male,51,2,127743.55,1,1,1,143783.45,0
173,15595537,Smith,726,France,Male,47,3,0,2,1,1,171378.77,0
174,15813444,Efimov,739,France,Female,27,3,0,2,1,0,6177.83,0
175,15578977,Lucciano,776,France,Female,45,4,0,2,1,1,50578.4,0
176,15753332,Mancini,651,France,Male,32,3,0,2,1,0,148814.54,0
177,15726087,Onyemauchechukwu,697,France,Male,29,1,0,2,1,0,161579.85,0
178,15626008,Lombardo,627,France,Female,33,3,0,1,1,1,93835.64,1
179,15806922,Mazzanti,621,France,Male,37,2,0,2,1,0,170835.32,0
180,15585738,Ngozichukwuka,669,France,Female,28,9,0,1,1,1,161579.85,0
181,15750867,Chidiebere,710,Spain,Female,34,8,0,2,1,1,130866.95,0
182,15626385,Yobanna,710,France,Male,35,7,0,1,1,1,176913.42,0
183,15744517,Ch'en,762,Germany,Female,33,5,121801.72,1,1,1,154491.39,0
184,15796413,Macdonald,596,France,Female,43,3,0,2,1,0,122268.75,0
185,15629078,Eremenko,705,France,Female,41,10,131769.04,1,0,1,103421.91,0
186,15707974,Ch'iu,704,France,Female,31,1,0,2,1,0,181893.31,0
187,15572390,Ch'eng,842,Spain,Male,33,7,0,2,1,1,61290.99,0
188,15586523,Iadanza,573,France,Female,51,3,0,3,0,0,74510.65,1
189,15581036,Hsu,636,Spain,Male,30,5,160858.13,1,1,1,151623.91,0
190,15809800,Baresi,613,Spain,Female,35,8,0,2,1,1,101371.05,0
191,15715796,Chukwualuka,656,France,Male,34,1,0,2,1,1,28415.36,0
192,15771742,Aksenov,663,France,Male,38,2,0,2,1,0,158545.25,0
193,15602994,Palerma,686,Spain,Male,37,9,0,1,0,0,162599.51,0
194,15812241,Mironova,525,Germany,Male,45,1,104719.94,1,1,0,138871.12,1
195,15665861,K'ung,550,Spain,Female,34,2,0,2,0,0,82872.64,0
196,15774738,P'an,629,Spain,Male,41,7,0,2,1,0,99818.46,0
197,15596962,Ch'iu,569,France,Female,40,6,0,1,1,1,93835.64,1
198,15805764,Yobanna,639,France,Female,32,3,0,2,1,1,49713.87,0
199,15793883,Brown,654,France,Male,31,8,71553.83,2,1,0,192013.23,0
200,15693376,Chien,645,France,Male,35,6,0,1,1,0,70529,0
201,15569423,Watson,607,France,Female,51,3,0,1,1,1,161887.84,1
202,15794493,Maclean,614,France,Male,35,5,0,2,1,1,100727.68,0
203,15684469,Wright,757,France,Female,59,3,0,2,0,1,90106.94,0
204,15762927,Chinwendu,773,France,Male,39,8,0,2,1,1,130661.95,0
205,15773039,Hs?,652,Germany,Male,49,5,137962.89,2,0,0,90928.48,0
206,15703413,Chien,730,Germany,Male,54,7,109783.69,2,0,1,140720.75,0
207,15683560,Tsao,687,France,Female,37,9,0,2,1,1,86410.28,0
208,15754940,Chukwualuka,706,France,Male,41,6,0,2,1,0,146680.28,0
209,15787699,T'ien,707,Spain,Male,35,9,146566.01,1,1,1,133535.29,0
210,15582892,Iheanacho,492,France,Female,41,9,0,2,0,0,86575.46,0
211,15626985,Chigolum,596,France,Female,33,6,84719.98,1,0,1,181918.26,0
212,15618243,Maclean,602,France,Female,47,9,0,1,1,0,116069.09,1
213,15748123,Hargreaves,627,France,Male,42,1,0,1,1,0,25482.62,1
214,15658548,Dickson,633,France,Male,33,7,0,2,1,0,125553.51,0
215,15800412,Nweke,652,France,Female,37,4,0,2,1,1,161653.5,0
216,15575146,Tsao,742,Germany,Male,30,7,155739.36,1,1,0,100750.03,0
217,15581525,Chiemenam,724,France,Female,31,6,0,2,0,0,51707.09,0
218,15790488,Smith,758,France,Male,34,2,0,1,1,0,95985.64,0
219,15676835,K'ung,611,Spain,Female,36,5,0,2,1,0,163666.85,0
220,15691808,Udegbulam,738,Spain,Female,49,6,0,2,1,0,132959.33,1
221,15592379,T'ien,709,France,Male,43,7,0,2,1,1,137537.22,0
222,15791045,Onwumelu,739,Germany,Male,35,9,124495.98,2,1,0,73881.68,0
223,15692879,Hs?,535,France,Male,40,2,0,2,1,0,147545.65,0
224,15648067,Chinweike,603,France,Male,40,6,123372.3,1,1,1,92664.09,0
225,15661330,Ma,653,France,Female,38,9,0,2,1,0,143598.7,0
226,15786463,Ts'ui,636,Spain,Male,28,3,0,2,1,0,134720.51,0
227,15708713,Tung,651,France,Female,35,1,0,1,1,0,107625.08,1
228,15731412,Eluemuno,613,Germany,Male,44,4,126776.3,2,0,0,151645.96,0
229,15798024,Chidiebere,771,Germany,Female,46,9,140197.17,2,1,1,126761.2,0
230,15576550,Lujan,607,France,Female,44,4,0,2,0,1,180800.42,0
231,15771543,Genovesi,616,France,Male,23,3,0,2,1,0,177626.57,0
232,15793883,Chukwualuka,838,Germany,Male,53,6,130404.92,1,1,1,175314.87,1
233,15814772,Chukwudi,678,France,Female,45,6,0,1,1,0,43496.36,1
234,15785831,Sells,667,Germany,Female,47,6,110527.17,1,1,0,136079.64,1
235,15684516,Hsieh,538,France,Male,50,2,0,3,0,0,111421.77,1
236,15736399,Akeroyd,637,France,Male,26,2,0,2,1,0,62905.29,0
237,15697095,Chiu,594,Spain,Male,30,9,0,2,1,1,79919.13,0
238,15665811,Chiawuotu,572,France,Male,44,10,65962.64,1,1,0,91573.19,0
239,15702416,Niu,558,France,Female,40,5,0,1,1,0,63889.1,1
240,15632848,Tsao,598,Spain,Female,40,7,0,2,1,1,176433.6,0
241,15662662,Frolova,812,France,Female,33,5,0,2,1,1,181429.87,0
242,15655339,Lu,586,Germany,Male,37,10,117731.79,2,0,1,78854.58,0
243,15756475,Nnonso,628,France,Male,46,8,121276.32,3,1,0,110560.14,1
244,15809137,Okagbue,684,France,Female,53,5,0,1,1,0,109179.89,1
245,15668058,Chukwukadibia,683,France,Male,32,7,0,2,0,1,101300.94,0
246,15742865,Galkin,699,France,Female,31,3,108269.2,1,1,0,134593.29,0
247,15787848,Gell,535,France,Female,47,2,131287.36,1,1,0,158891.79,1
248,15782875,Nnamdi,658,France,Male,36,9,122552.34,1,0,0,94875.03,0
249,15737778,Hsiung,686,France,Male,26,5,0,2,1,0,94498.82,0
250,15684548,Dickson,656,France,Male,36,6,152303.8,1,1,0,120853.83,0
251,15773098,Iqbal,619,France,Male,38,1,0,2,1,0,103901.27,0
252,15682548,Nwankwo,649,France,Female,35,7,0,2,1,0,74965.61,1
253,15672374,Frewin,745,Spain,Female,32,6,0,2,0,1,79547.39,0
254,15583392,K'ung,585,Spain,Male,35,6,0,2,1,1,114092.52,0
255,15673907,Chinomso,572,Spain,Male,33,3,0,2,1,0,143635.36,0
256,15602797,P'an,727,France,Female,63,8,0,1,0,0,167058.75,1
257,15730353,Chin,730,France,Male,33,5,0,2,0,0,59645.24,0
258,15657540,Chinwenma,545,Spain,Female,32,1,120723.24,1,0,0,151169.83,0
259,15672912,White,624,Spain,Male,31,7,0,1,1,0,82351.06,0
260,15802758,Fanucci,709,France,Male,31,2,0,2,0,1,86950.72,0
261,15586039,Chiang,646,Germany,Male,50,4,148042.97,2,1,0,92220.12,1
262,15618239,Aksenov,633,France,Male,28,1,0,2,1,0,62764.44,0
263,15805062,Tsai,516,France,Female,40,4,0,1,1,0,176712.59,0
264,15588854,Yobachi,592,France,Male,37,5,144961.97,1,1,1,90876.95,0
265,15814405,P'eng,523,Spain,Female,39,5,0,2,1,1,121555.51,0
266,15713378,Hsia,637,France,Male,29,10,0,2,1,0,100722.72,0
267,15791174,Kable,670,France,Male,39,9,0,2,0,0,132034.13,0
268,15756610,T'ang,707,Spain,Male,39,3,0,1,0,1,132034.13,0
269,15782688,Nwankwo,763,France,Female,39,2,0,2,1,1,109742.55,0
270,15605067,Nworie,562,Germany,Male,30,4,135984.15,2,1,0,123622,0
271,15789941,Nnamutaezinwa,528,Spain,Female,48,2,0,2,1,1,141533.19,0
272,15572801,Okorie,803,Germany,Male,27,5,135020.21,1,1,0,124777.14,0
273,15786538,Chia,684,France,Female,28,5,0,2,0,0,182354.46,0
274,15644501,Manna,687,Germany,Female,36,2,141078.37,2,1,1,61936.1,0
275,15636423,Okwudilichukwu,687,Germany,Male,37,6,151709.33,2,1,0,186489.95,0
276,15718673,P'eng,706,Germany,Female,46,7,151691.44,1,1,0,134901.58,1
277,15783097,Chukwukere,667,Spain,Female,55,9,0,2,1,1,157097.09,0
278,15771483,Ch'in,706,Spain,Female,34,8,61710.46,2,1,0,156048.64,0
279,15652948,Ibeamaka,576,France,Male,36,2,0,2,0,1,164886.64,0
280,15773869,Ritchie,598,France,Male,32,1,141827.33,1,0,1,74838.64,0
281,15659064,Liao,754,France,Male,57,4,131082.66,1,1,1,77965.44,0
282,15603465,Kao,705,Spain,Female,29,4,0,2,1,1,134790.74,0
283,15590011,Zikoranachidimma,469,France,Male,29,10,134944,1,1,1,115186.97,0
284,15804919,Nwankwo,619,France,Female,46,5,0,2,1,1,91574.92,0
285,15813915,Nnachetam,732,France,Female,38,8,0,2,0,0,121151.1,0
286,15676869,Clements,656,Spain,Male,49,5,0,1,1,1,90174.83,0
287,15591550,Eluemuno,599,France,Male,31,6,129837.72,1,1,0,112771.95,0
288,15693893,Trevisani,667,Germany,Male,38,9,123939.54,2,1,0,76510.46,0
289,15728078,Hsia,693,France,Male,29,9,0,1,1,1,123410.23,0
290,15800583,Chien,676,France,Female,34,1,0,2,1,1,48553.38,0
291,15688074,Nkemakolam,656,France,Male,49,9,0,2,1,1,146875.86,0
292,15747014,Ch'iu,651,France,Female,41,3,0,2,1,1,54726.43,0
293,15607986,Nnamutaezinwa,710,Spain,Male,36,2,124401.6,1,1,1,121866.87,0
294,15679909,Chukwuhaenye,632,France,Female,34,9,0,1,1,1,78616.92,1
295,15687094,Cattaneo,696,France,Female,47,0,0,1,1,0,164768.82,1
296,15803681,Macartney,795,France,Male,33,9,0,2,1,0,73069.64,0
297,15589807,T'ang,686,Germany,Male,25,6,106938.11,2,0,0,131647.31,0
298,15607827,H?,707,France,Female,67,2,0,1,1,1,171378.77,1
299,15699524,Pinto,642,France,Male,30,3,0,2,1,0,94498.82,0
300,15664547,Pinto,592,France,Male,39,4,0,2,1,0,114066.77,0
301,15771543,Babbage,633,France,Female,48,9,0,1,1,0,140889.32,0
302,15576085,Chiedozie,759,France,Male,46,1,0,2,1,0,86460.29,0
303,15665956,Iloerika,718,France,Male,33,4,0,2,1,1,122934.4,0
304,15761487,Tung,627,France,Male,33,8,0,2,0,0,129975.94,0
305,15573779,Ch'en,653,Spain,Male,37,10,0,1,1,0,59864.56,0
306,15668894,Mancini,667,Spain,Female,20,8,0,2,1,0,149853.89,0
307,15770039,Mazzi,628,Germany,Male,62,3,95984.69,1,1,1,87830.26,1
308,15717138,Calabresi,623,France,Female,38,1,0,2,1,1,73881.68,0
309,15774882,Chidumaga,685,France,Female,43,0,0,2,1,1,43982.41,0
310,15737025,Nnaife,563,Spain,Female,40,3,0,2,1,1,64345.61,0
311,15798053,Chukwuebuka,659,Germany,Male,31,2,112940.07,2,0,1,77837.63,0
312,15690731,Fink,679,Spain,Male,34,1,0,2,1,0,63795.8,0
313,15604891,Zikoranachidimma,648,France,Male,20,8,0,2,1,0,82996.47,0
314,15571148,Onuchukwu,599,France,Male,22,4,0,1,0,1,149536.15,0
315,15747358,Chukwudi,591,Spain,Female,39,6,0,2,1,0,71725.73,0
316,15732903,Ting,679,France,Male,40,5,106198.5,1,1,1,77965.44,0
317,15651581,Galkin,637,France,Male,31,8,0,1,1,1,169935.46,0
318,15638774,Hsia,635,Germany,Male,37,6,141462.13,2,0,1,141210.5,0
319,15731755,Macleod,607,Germany,Male,46,5,122570.69,1,1,1,137791.18,1
320,15605076,Y?an,826,France,Female,50,4,0,2,1,0,173776.5,0
321,15604073,Iredale,640,Spain,Male,33,6,0,1,1,0,38798.79,1
322,15776733,Kao,560,France,Male,40,1,0,2,1,1,131852.01,0
323,15752508,H?,822,France,Female,29,4,0,2,1,0,72350.37,0
324,15790750,P'eng,686,Germany,Female,42,6,141819.02,1,1,1,60931.11,1
325,15633650,Ts'ai,685,Spain,Female,42,7,0,2,0,1,137537.29,0
326,15665064,Manna,774,Germany,Male,37,0,153895.46,1,1,0,115429.32,0
327,15783859,Hsueh,691,France,Female,44,2,0,2,1,0,94739.2,0
328,15573741,O'Loghlen,584,France,Female,45,9,0,1,0,0,27886.06,1
329,15700601,Rizzo,712,Spain,Male,26,7,0,2,0,0,177097.96,0
330,15784597,Okechukwu,577,France,Male,34,2,0,2,1,1,121098.65,0
331,15791842,Zikoranachidimma,674,Germany,Male,52,8,131033.76,1,1,0,147040.25,1
332,15736271,Ulyanova,669,France,Female,61,9,0,1,1,0,164864.67,1
333,15717489,Palerma,646,Spain,Male,37,2,0,2,0,0,107879.32,0
334,15589230,Chibueze,624,France,Female,52,8,0,1,1,1,199273.98,1
335,15774696,Tuan,652,Germany,Female,35,5,127543.11,1,1,0,171706.66,0
336,15772896,Hs?,565,Spain,Male,30,4,0,2,1,1,170514.21,0
337,15690958,Onyeorulu,600,France,Male,28,4,0,2,0,0,84972.9,0
338,15765520,Nwebube,681,Spain,Male,38,2,0,2,1,0,122449.19,0
339,15803479,Eluemuno,678,France,Male,40,3,0,1,1,0,53534.8,0
340,15686696,Maclean,707,France,Male,34,3,0,2,0,0,140941.47,0
341,15582910,T'ao,648,France,Male,41,3,0,1,1,1,73881.68,1
342,15735080,Chin,583,Spain,Female,53,2,0,1,0,0,73873.65,1
343,15674727,Toscani,634,Spain,Female,30,7,0,1,1,1,71167.17,0
344,15597948,Fomina,706,France,Male,29,6,161613.94,1,1,1,177896.92,0
345,15691703,Ch'iu,627,France,Male,23,5,0,2,0,0,161653.5,0
346,15761950,Pagnotto,573,Spain,Female,37,2,107553.33,1,1,0,158973.77,0
347,15744607,Bischof,590,France,Male,33,2,113317.1,1,0,1,71843.95,0
